max_depth,max_features,min_samples_leaf,min_samples_split,acc,bal_acc,f1,precision,generalization_score,time_init,time_final,score
5.0,0.0,11.0,12.0,0.8549763033175355,0.5655027932960893,0.5747501041066546,0.7294490354400902,0.8549763033175355,1700175318.7348719,1700175318.7502027,0.8606060606060606
5.0,0.3333333432674408,5.0,32.0,0.8625592417061612,0.5905027932960893,0.6138895088985261,0.7696616497562712,0.8625592417061612,1700175318.7512348,1700175318.7661073,0.8641148325358852
3.0,0.2222222238779068,13.0,20.0,0.8492890995260662,0.5493191340782122,0.5476503118941878,0.6441957376735459,0.8492890995260662,1700175318.767543,1700175318.7822213,0.8567783094098884
2.0,0.5555555820465088,5.0,50.0,0.8502369668246446,0.5498777932960894,0.5452648837043924,0.6506051390774799,0.8502369668246446,1700175318.7835937,1700175318.7983909,0.8526315789473685
32.0,0.4444444477558136,17.0,3.0,0.8568720379146919,0.5871508379888268,0.6072675172586085,0.7382454977136603,0.8568720379146919,1700175318.7997713,1700175318.8145976,0.8669856459330143
32.0,0.8888888955116272,1.0,8.0,0.8616113744075828,0.654102653631285,0.679060472074812,0.7295683978303609,0.8616113744075828,1700175321.1385949,1700175321.174484,0.9266347687400319
13.0,1.0,1.0,2.0,0.8578199052132702,0.6441689944134079,0.6681120381421738,0.7187408685950538,0.8578199052132702,1700175322.8239565,1700175322.8591926,0.9288676236044656
20.0,0.8888888955116272,1.0,2.0,0.8635071090047394,0.6603526536312849,0.6856263255531974,0.7353669220662209,0.8635071090047394,1700175324.2430496,1700175324.276005,0.9346092503987242
8.0,0.8888888955116272,1.0,2.0,0.8597156398104264,0.61705656424581,0.6440930821135655,0.7346568704837202,0.8597156398104264,1700175325.7063851,1700175325.7369528,0.9036682615629985
8.0,0.5555555820465088,1.0,2.0,0.8635071090047393,0.6167248603351956,0.6457678017942587,0.7491478501747577,0.8635071090047393,1700175327.1210434,1700175327.1585145,0.9014354066985646
50.0,0.8888888955116272,1.0,2.0,0.8644549763033176,0.6634776536312849,0.6886448379795579,0.7372829382844276,0.8644549763033176,1700175379.5004063,1700175379.5359545,0.9336523125996811
20.0,1.0,1.0,2.0,0.8587677725118483,0.6498603351955308,0.6739113506565546,0.7222980432111324,0.8587677725118483,1700175381.0419323,1700175381.0762017,0.932695374800638
20.0,0.8888888955116272,1.0,2.0,0.8635071090047394,0.6603526536312849,0.6856263255531974,0.7353669220662209,0.8635071090047394,1700175382.347205,1700175382.3834364,0.9346092503987242
50.0,0.5555555820465088,1.0,2.0,0.8654028436018957,0.6589036312849162,0.6860638731179705,0.742686788796679,0.8654028436018957,1700175384.342893,1700175384.3794768,0.9333333333333333
20.0,0.3333333432674408,1.0,2.0,0.8635071090047393,0.6526536312849163,0.6795324086039093,0.7381340417507098,0.8635071090047393,1700175386.7515686,1700175386.787882,0.9342902711323765
20.0,0.6666666865348816,1.0,2.0,0.8663507109004739,0.6594622905027933,0.6871645887079494,0.7451447667790881,0.8663507109004739,1700175441.1076496,1700175441.1407268,0.9339712918660288
32.0,0.8888888955116272,1.0,2.0,0.8644549763033176,0.6634776536312849,0.6886448379795579,0.7372829382844276,0.8644549763033176,1700175442.3624163,1700175442.3987885,0.9336523125996811
3.0,0.4444444477558136,1.0,2.0,0.8559241706161137,0.5660614525139664,0.574185954467324,0.6840746179757795,0.8559241706161137,1700175443.55553,1700175443.5908947,0.858054226475279
8.0,1.0,1.0,2.0,0.8559241706161136,0.6096892458100559,0.6348039874976481,0.7195000105764482,0.8559241706161136,1700175500.082105,1700175500.119329,0.9030303030303031
50.0,0.6666666865348816,1.0,3.0,0.8625592417061612,0.657227653631285,0.6820374914263871,0.7326911747335615,0.8625592417061612,1700175501.520309,1700175501.555898,0.9342902711323765
13.0,0.7777777910232544,3.0,3.0,0.8568720379146919,0.6282122905027933,0.6532610755356907,0.716437013734339,0.8568720379146919,1700175502.9104867,1700175502.9465559,0.9151515151515153
20.0,0.5555555820465088,1.0,2.0,0.8654028436018957,0.6589036312849162,0.6860638731179705,0.742686788796679,0.8654028436018957,1700175504.2706373,1700175504.307462,0.9339712918660288
5.0,0.8888888955116272,3.0,20.0,0.8625592417061612,0.5956354748603352,0.6208535474496554,0.7643880356084176,0.8625592417061612,1700175560.7601922,1700175560.79845,0.867304625199362
5.0,0.7777777910232544,1.0,2.0,0.8644549763033176,0.5993191340782122,0.6260019257070195,0.7714247999329202,0.8644549763033176,1700175562.638872,1700175562.675186,0.8708133971291867
13.0,0.3333333432674408,1.0,2.0,0.8644549763033176,0.6403805865921788,0.6696105360543815,0.7431681931838724,0.8644549763033176,1700175620.0207412,1700175620.0586708,0.9291866028708133
13.0,0.7777777910232544,1.0,5.0,0.8597156398104264,0.647852653631285,0.6726868511509972,0.7245895277967647,0.8597156398104264,1700175623.436772,1700175623.4713168,0.9221690590111642
20.0,0.8888888955116272,1.0,2.0,0.8635071090047394,0.6603526536312849,0.6856263255531974,0.7353669220662209,0.8635071090047394,1700175680.3664548,1700175680.403232,0.9346092503987242
13.0,0.5555555820465088,1.0,2.0,0.8654028436018957,0.6537709497206704,0.6816578983376509,0.7425948886919844,0.8654028436018957,1700175682.0870001,1700175682.1159792,0.9288676236044656
20.0,0.7777777910232544,1.0,2.0,0.861611374407583,0.6566689944134079,0.6812149437720618,0.7300222893977381,0.861611374407583,1700175684.2775936,1700175684.3119314,0.9330143540669857
50.0,1.0,5.0,3.0,0.8549763033175355,0.6219622905027933,0.6458158567419363,0.7099826738119236,0.8549763033175355,1700175742.3851423,1700175742.4203978,0.9113237639553429
