max_depth,max_features,min_samples_leaf,min_samples_split,acc,bal_acc,f1,precision,generalization_score,time_init,time_final,score
8.0,0.6666666865348816,11.0,20.0,0.8753623188405797,0.880899830220713,0.8751924832233342,0.8780497284909049,0.8753623188405797,1708509278.3273199,1708509278.3457117,0.8653658536585367
5.0,0.6666666865348816,9.0,80.0,0.8434782608695652,0.8519524617996603,0.8434721714772866,0.851585084660212,0.8434782608695652,1708509278.3468318,1708509278.3643134,0.838048780487805
50.0,0.3333333432674408,15.0,20.0,0.8782608695652173,0.8823429541595926,0.8779531883641474,0.8784873949579832,0.8782608695652173,1708509278.3659217,1708509278.384091,0.8653658536585367
13.0,0.8888888955116272,3.0,3.0,0.8840579710144927,0.887011884550085,0.8836281637836116,0.8840644191747133,0.8840579710144927,1708509278.3856025,1708509278.4031794,0.9151219512195123
1.0,0.7777777910232544,15.0,80.0,0.8405797101449275,0.849320882852292,0.8405797101449276,0.849320882852292,0.8405797101449275,1708509278.4044602,1708509278.4223173,0.8390243902439025
20.0,0.8888888955116272,1.0,12.0,0.8753623188405797,0.8791171477079796,0.8750067001552988,0.8755479161361515,0.8753623188405797,1708509283.8343818,1708509283.853923,0.9258536585365853
32.0,0.8888888955116272,1.0,2.0,0.8753623188405797,0.878522920203735,0.8748879693701843,0.8756032230250745,0.8753623188405797,1708509287.850326,1708509287.871783,0.9463414634146341
13.0,0.7777777910232544,1.0,2.0,0.8811594202898549,0.884974533106961,0.8808344028580015,0.8813559969442322,0.8811594202898549,1708509292.6144764,1708509292.6342342,0.9463414634146341
20.0,0.7777777910232544,1.0,50.0,0.8608695652173912,0.8671477079796264,0.8607647231372021,0.8644133648545412,0.8608695652173912,1708509295.9442444,1708509295.964015,0.8614634146341464
20.0,0.8888888955116272,1.0,2.0,0.8753623188405797,0.878522920203735,0.8748879693701843,0.8756032230250745,0.8753623188405797,1708509300.0550888,1708509300.07539,0.9463414634146341
20.0,0.8888888955116272,1.0,3.0,0.8782608695652174,0.8811544991511036,0.877752079528815,0.8783368619351841,0.8782608695652174,1708509339.5126448,1708509339.5323343,0.944390243902439
50.0,0.7777777910232544,1.0,2.0,0.8840579710144927,0.8876061120543293,0.8836985130166322,0.8840896358543417,0.8840579710144927,1708509342.6329029,1708509342.6547453,0.9463414634146341
50.0,0.5555555820465088,1.0,2.0,0.8869565217391304,0.8908319185059423,0.8866521643521328,0.8872926746456158,0.8869565217391304,1708509348.3613534,1708509348.3806124,0.944390243902439
32.0,1.0,1.0,2.0,0.872463768115942,0.8752971137521222,0.8719210033641225,0.8723796303943363,0.872463768115942,1708509354.6135511,1708509354.633105,0.9414634146341463
13.0,0.7777777910232544,1.0,2.0,0.8811594202898549,0.884974533106961,0.8808344028580015,0.8813559969442322,0.8811594202898549,1708509357.7248008,1708509357.744951,0.9463414634146341
20.0,0.7777777910232544,1.0,3.0,0.8811594202898549,0.884974533106961,0.8808344028580015,0.8813559969442322,0.8811594202898549,1708509400.2768335,1708509400.2968416,0.9453658536585365
20.0,1.0,1.0,2.0,0.872463768115942,0.8752971137521222,0.8719210033641225,0.8723796303943363,0.872463768115942,1708509409.2957428,1708509409.320527,0.9414634146341463
50.0,0.8888888955116272,1.0,3.0,0.8782608695652174,0.8811544991511036,0.877752079528815,0.8783368619351841,0.8782608695652174,1708509412.4146693,1708509412.434936,0.944390243902439
20.0,0.7777777910232544,1.0,5.0,0.8811594202898549,0.884974533106961,0.8808344028580015,0.8813559969442322,0.8811594202898549,1708509460.2288759,1708509460.2492332,0.9434146341463414
20.0,0.8888888955116272,1.0,2.0,0.8753623188405797,0.878522920203735,0.8748879693701843,0.8756032230250745,0.8753623188405797,1708509463.0936213,1708509463.1168675,0.9463414634146341
20.0,0.8888888955116272,1.0,5.0,0.872463768115942,0.8758913412563667,0.8720317966803953,0.872596953810189,0.872463768115942,1708509466.6208377,1708509466.6407633,0.9404878048780487
20.0,0.7777777910232544,1.0,2.0,0.8840579710144927,0.8876061120543293,0.8836985130166322,0.8840896358543417,0.8840579710144927,1708509521.0759676,1708509521.0962236,0.9463414634146341
13.0,0.7777777910232544,1.0,3.0,0.8811594202898549,0.884974533106961,0.8808344028580015,0.8813559969442322,0.8811594202898549,1708509524.9099402,1708509524.9295943,0.944390243902439
32.0,0.8888888955116272,1.0,12.0,0.8753623188405797,0.8791171477079796,0.8750067001552988,0.8755479161361515,0.8753623188405797,1708509528.0800383,1708509528.0997522,0.9258536585365853
50.0,0.6666666865348816,1.0,2.0,0.8840579710144927,0.8876061120543293,0.8836985130166322,0.8840896358543417,0.8840579710144927,1708509579.71296,1708509579.7325335,0.9463414634146341
20.0,0.7777777910232544,1.0,2.0,0.8840579710144927,0.8876061120543293,0.8836985130166322,0.8840896358543417,0.8840579710144927,1708509583.381187,1708509583.4008083,0.9463414634146341
50.0,0.7777777910232544,1.0,3.0,0.8811594202898549,0.884974533106961,0.8808344028580015,0.8813559969442322,0.8811594202898549,1708509587.6839817,1708509587.7088072,0.9453658536585365
20.0,0.8888888955116272,1.0,2.0,0.8753623188405797,0.878522920203735,0.8748879693701843,0.8756032230250745,0.8753623188405797,1708509699.4213943,1708509699.4414268,0.9463414634146341
20.0,0.5555555820465088,1.0,2.0,0.8869565217391304,0.8908319185059423,0.8866521643521328,0.8872926746456158,0.8869565217391304,1708509704.0274615,1708509704.057729,0.944390243902439
8.0,0.7777777910232544,1.0,32.0,0.8753623188405797,0.8803056027164686,0.8751573213170686,0.876711229946524,0.8753623188405797,1708509759.2656348,1708509759.2857666,0.8839024390243904
