max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,score,generalization_score
7.0,0.011265210225126,0.274831238939354,0.054422714725212006,0.069008212877464,0.036168510137228,1.008635029194782,1.073364869284793
4.0,0.172123011285296,0.14982733683726102,0.028248176259675004,0.17360272472826802,0.07840682962187401,0.972819134591932,1.0516062484668154
3.0,0.10590453897230101,0.092219932823457,0.21250560448987502,0.5060846317508411,0.068447432971658,1.0025039045337434,1.0733648692847932
13.0,0.014419271426492,0.25262304506085204,0.012892792521465002,0.07151151593956201,0.01455982567691,1.0086350291947825,1.0733648692847932
3.0,0.15519793585483901,0.11300600030211701,0.015162093706799001,0.027520151502054002,0.039018899440327,0.8874092003492573,1.0174486241423861
8.0,0.6244,0.0366,0.0177,0.0259,0.3254,0.9397364825677297,1.0194001918947178
8.0,0.2676,0.0179,0.0101,0.0119,0.0256,0.6214089073566865,0.6614850800857565
9.0,0.4654,0.0001,0.0101,0.0189,0.0315,0.634339618550485,0.6995325263680363
8.0,0.3366,0.0001,0.0101,0.0179,0.0101,0.6215062832128757,0.7168397528464777
12.0,0.72,0.0002,0.0136,0.0161,0.0386,0.6494033512537875,0.6837360627193395
14.0,0.3654,0.0002,0.0111,0.0123,0.0245,0.6217673395203124,0.7065206207503693
15.0,0.98,0.0001,0.0101,0.0101,0.0101,0.6152649271450363,0.7188124807829268
15.0,0.0101,0.0001,0.0101,0.0101,0.0101,0.736295681292592,0.6966686779890472
7.0,0.5499,0.1662,0.0102,0.0118,0.0235,0.8691308995059712,0.9915588778873732
9.0,0.1101,0.0001,0.0177,0.0289,0.0413,0.7179308612550914,0.8090100261669643
9.0,0.2789,0.24,0.0101,0.0114,0.0101,0.9804730417936085,1.073364869284793
15.0,0.0112,0.0202,0.0101,0.0102,0.0101,0.7337423764970357,0.7829679088174402
10.0,0.1401,0.0301,0.0105,0.0213,0.0165,0.6454000711048244,0.7616679293311384
10.0,0.2475,0.1301,0.0223,0.0178,0.0338,0.8667064369438006,1.0010000972088713
8.0,0.5047,0.1099,0.0101,0.0101,0.0101,0.8087920454520952,0.9333754443642149
15.0,0.0123,0.0204,0.0124,0.0173,0.0276,0.746635624932847,0.8062283402256528
15.0,0.0999,0.0001,0.0101,0.0101,0.0101,0.736295681292592,0.6966686779890472
10.0,0.2739,0.071,0.0101,0.0101,0.0101,0.7342030357976441,0.8576532748882849
9.0,0.5099,0.0001,0.0101,0.0101,0.0101,0.5958209857358049,0.711069807351209
15.0,0.1564,0.0099,0.0101,0.0128,0.0101,0.6566367037106867,0.715074498170689
7.0,0.151,0.0197,0.011,0.0174,0.023,0.6458141548216313,0.7497515008031231
9.0,0.5637,0.0187,0.0176,0.0156,0.0142,0.6356137719896895,0.7359845987845294
10.0,0.4945,0.001,0.0101,0.0101,0.0101,0.6094557163460338,0.7099034902374196
15.0,0.1234,0.0001,0.0101,0.0101,0.0101,0.736295681292592,0.6966686779890472
9.0,0.205,0.0001,0.0101,0.0101,0.0101,0.60323338145951,0.6595917105209412
