n_estimators,learning_rate,score,generalization_score
100.0,4.60030680449031,2.015336474639522,1.2255055230280811
22.0,9.890143127152722,7.0818130163802495,9.045575436505315
31.0,0.009613989345165,0.916204678071094,0.8496562464164825
45.0,0.22321849928717602,0.8296180585500073,0.7844488236283798
94.0,1.704333511590947,0.7650342271396278,0.6753756870886736
85.0,0.00013762647927214892,0.9149097550828309,0.8647117791825966
100.0,0.0032284643863198207,0.9079740672921901,0.866973643454275
67.0,0.10000069077791375,0.8605752535949941,0.7803113949752002
44.0,0.00010000069077791376,0.9214601881725788,0.8530362971178946
80.0,0.9999953948404178,0.7853925340574944,0.7281031306536795
100.0,0.23858767221993876,0.810359081656833,0.7720129199925282
100.0,0.4598614453742586,0.7977798749763755,0.7184324880812885
83.0,0.033335885825115444,0.8937990804232607,0.8214216788590823
99.0,0.999997697417558,0.7696315102818839,0.7113930335376898
100.0,0.6531937190261091,0.7879428682918448,0.7141774717287227
100.0,0.9946447622488462,0.7467603331607165,0.6997830927097806
98.0,0.1000002302587744,0.81226873254782,0.7499874360782818
43.0,0.9206360990350343,0.8514358290758206,0.7218180759300181
100.0,0.9864134832869913,0.7632897938815671,0.6827715535571801
76.0,0.4380684740993014,0.816000784419959,0.7227464671126808
42.0,0.00010000069077791376,0.9195073208638028,0.8523192214351085
31.0,0.1091596161894747,0.8601461468078113,0.8353295715521205
73.0,0.10000046051807897,0.8580697132111613,0.7770948363814298
10.0,0.1000002302587744,0.9262243836216607,0.9152367156384733
69.0,0.10092854210701913,0.8253503282713393,0.799519995636455
100.0,0.1,0.8148219476477815,0.752632043837449
100.0,0.8735243184229824,0.7919908037118465,0.7148639754359375
100.0,0.9965015992021717,0.7609472661337333,0.726057797475217
55.0,0.33344253574948,0.8275255813608483,0.7533943457748297
100.0,0.10000138156059925,0.8244380288225372,0.7553731138916497
