n_estimators,learning_rate,score,generalization_score
27.0,4.546784063337942,0.41201606658923734,0.5777777777777777
95.0,0.02653050299604,0.6708381726674408,0.6916666666666667
39.0,0.0005917433219460001,0.24354432830042586,0.15555555555555556
73.0,0.000397880553092,0.2845722028648858,0.26666666666666666
54.0,0.145776880681752,0.6617886178861789,0.6416666666666667
100.0,0.6454684215504093,0.6520180023228803,0.6277777777777778
100.0,0.9312858407476308,0.4433459156020131,0.37777777777777777
74.0,0.08295011644090386,0.6534189895470384,0.7111111111111111
100.0,0.1,0.6708575300038715,0.6944444444444444
100.0,0.4702924427363281,0.6903455284552845,0.6666666666666666
85.0,0.4906400545896933,0.6826679248935346,0.6388888888888888
77.0,0.46643915509364037,0.7042828106852499,0.6944444444444444
85.0,0.9341551233040803,0.43775406504065045,0.4083333333333333
89.0,0.8644124234620345,0.4175861401471157,0.31666666666666665
100.0,0.8658008343584451,0.4210825590398762,0.31666666666666665
100.0,0.7942697086132186,0.6319710607820364,0.38333333333333336
66.0,0.35493677587365186,0.6131145954316686,0.6444444444444445
79.0,0.3727726147665375,0.6430894308943088,0.6027777777777777
47.0,0.5756745100324756,0.6451751838946962,0.6111111111111112
100.0,1.7336203648423965,0.40644115369725126,0.7722222222222223
68.0,0.44778650391626523,0.6506581494386373,0.6805555555555556
100.0,0.815148999801002,0.48797667440960124,0.31666666666666665
60.0,1.003961364147884,0.2894986449864499,0.24166666666666667
88.0,0.5458219542041653,0.7251742160278746,0.6638888888888889
67.0,0.5983675040889267,0.64164972899729,0.5666666666666667
98.0,0.5796795772935934,0.6806692799070848,0.5861111111111111
100.0,0.20269965055981973,0.6659819008904375,0.5888888888888889
65.0,0.760755323356517,0.6416352109949671,0.49444444444444446
76.0,0.37466144173761107,0.6368539488966318,0.6472222222222223
100.0,0.36399716403613275,0.6979940960123887,0.6027777777777777
