max_depth,max_features,min_samples_leaf,min_samples_split,acc,bal_acc,f1,precision,generalization_score,time_init,time_final,score
50.0,0.5555555820465088,20.0,32.0,0.718,0.5604761904761905,0.5386486108844946,0.648979959846566,0.718,1700234763.029419,1700234763.0448294,0.7575757575757576
20.0,0.2222222238779068,20.0,2.0,0.7,0.5,0.4117647058823529,0.35,0.7,1700234763.0458863,1700234763.0607884,0.7003367003367004
3.0,0.4444444477558136,15.0,5.0,0.704,0.5066666666666667,0.4256425227086444,0.5514141414141414,0.704,1700234763.0622766,1700234763.0772479,0.7084175084175085
32.0,1.0,3.0,20.0,0.756,0.6847619047619047,0.6929938287593391,0.7115381297446515,0.756,1700234763.0786786,1700234763.0934987,0.8309764309764309
1.0,0.3333333432674408,1.0,128.0,0.7,0.5,0.4117647058823529,0.35,0.7,1700234763.094926,1700234763.109827,0.7003367003367004
32.0,1.0,1.0,5.0,0.754,0.7004761904761905,0.7030058764599606,0.709930531824899,0.754,1700234766.2953136,1700234766.3118505,0.8828282828282829
13.0,0.8888888955116272,1.0,3.0,0.76,0.700952380952381,0.7058852297475198,0.7172110887246566,0.76,1700234767.877524,1700234767.9118695,0.8909090909090909
32.0,1.0,1.0,3.0,0.75,0.6976190476190477,0.6994148484659006,0.7061566098684013,0.75,1700234770.5256693,1700234770.5600934,0.8868686868686868
32.0,0.8888888955116272,1.0,2.0,0.764,0.7076190476190476,0.7121761282662833,0.7222585299668105,0.764,1700234772.5690105,1700234772.6040144,0.8909090909090909
13.0,0.6666666865348816,1.0,2.0,0.774,0.6976190476190476,0.7087880633144916,0.736450890470433,0.774,1700234774.3494074,1700234774.3841214,0.8915824915824915
13.0,0.6666666865348816,3.0,3.0,0.764,0.6790476190476191,0.6905873689675868,0.7227677146701537,0.764,1700234825.0176916,1700234825.0521734,0.8619528619528619
5.0,0.7777777910232544,1.0,2.0,0.736,0.6133333333333334,0.6186555557972012,0.6874694154770342,0.736,1700234826.6109273,1700234826.6471243,0.8080808080808082
13.0,1.0,1.0,3.0,0.754,0.7004761904761906,0.7030537935094976,0.7098647036032675,0.754,1700234828.8872013,1700234828.923713,0.8861952861952862
32.0,0.7777777910232544,1.0,2.0,0.762,0.7004761904761905,0.7063180941123585,0.7172406587799811,0.762,1700234831.961412,1700234831.9963467,0.8922558922558922
8.0,0.8888888955116272,1.0,2.0,0.748,0.6733333333333333,0.6806282772868242,0.7021222653806749,0.748,1700234885.6414886,1700234885.6789553,0.8646464646464647
50.0,0.8888888955116272,1.0,2.0,0.764,0.7076190476190476,0.7121761282662833,0.7222585299668105,0.764,1700234889.5115137,1700234889.5473304,0.8909090909090909
50.0,1.0,1.0,2.0,0.748,0.7,0.7001004027458981,0.705125230215293,0.748,1700234891.0763502,1700234891.109819,0.8875420875420875
20.0,0.4444444477558136,1.0,2.0,0.7979999999999999,0.7052380952380952,0.7230095387514743,0.7844183916858336,0.7979999999999999,1700234895.9304996,1700234895.9666004,0.8976430976430978
20.0,0.5555555820465088,1.0,2.0,0.7859999999999999,0.7023809523809524,0.7162974685016993,0.7559758958721721,0.7859999999999999,1700234946.0749762,1700234946.1107607,0.8942760942760943
8.0,0.5555555820465088,1.0,2.0,0.764,0.6561904761904762,0.6684471070161495,0.7342235840974277,0.764,1700234948.9548225,1700234948.9906878,0.8572390572390572
20.0,0.8888888955116272,1.0,2.0,0.762,0.7042857142857142,0.7093307795501921,0.7197036240152848,0.762,1700234950.2245255,1700234950.254018,0.8909090909090909
20.0,0.4444444477558136,1.0,2.0,0.7979999999999999,0.7052380952380952,0.7230095387514743,0.7844183916858336,0.7979999999999999,1700235006.0379212,1700235006.0748932,0.8976430976430978
3.0,0.8888888955116272,1.0,2.0,0.7100000000000001,0.5642857142857143,0.5529733355396453,0.6369198084244296,0.7100000000000001,1700235007.5439668,1700235007.5799627,0.7595959595959595
13.0,0.5555555820465088,1.0,3.0,0.776,0.6933333333333332,0.7058896686280345,0.7413899473163487,0.776,1700235009.104711,1700235009.137697,0.8895622895622897
5.0,0.8888888955116272,1.0,2.0,0.73,0.6166666666666667,0.6237180193016104,0.6748612204034004,0.73,1700235067.3021455,1700235067.3387375,0.8134680134680135
13.0,0.4444444477558136,1.0,2.0,0.786,0.6890476190476191,0.7060341078909488,0.7678597661790382,0.786,1700235126.857407,1700235126.8951895,0.8969696969696971
20.0,0.3333333432674408,1.0,2.0,0.788,0.6771428571428572,0.6944561727376579,0.7890653771568334,0.788,1700235128.3286188,1700235128.366582,0.9043771043771045
13.0,0.3333333432674408,1.0,2.0,0.78,0.6619047619047618,0.6770922590551756,0.780593403633306,0.78,1700235129.611347,1700235129.6438985,0.8962962962962964
8.0,0.5555555820465088,3.0,3.0,0.77,0.6623809523809524,0.6767648195483396,0.7461206329936725,0.77,1700235197.6739523,1700235197.707792,0.8316498316498316
3.0,0.5555555820465088,1.0,2.0,0.704,0.52,0.4648050403516857,0.6643564648108868,0.704,1700235199.3359954,1700235199.3700252,0.7400673400673401
