hidden_layer_sizes,alpha,batch_size,learning_rate_init,power_t,momentum,score,generalization_score
185.0,0.000108685594791,215.0,0.002729872765365,0.371717949499384,0.0026566298800650002,1.0319544735851829,1.1484367018036048
84.0,0.155067725021613,227.0,0.0034029253146690003,0.101140030174416,0.052097967219698005,1.1474759684513565,1.1988110239734082
104.0,0.042149422583877,104.0,0.017692572850768,0.384147239692245,0.0062994922760190005,1.04103332890103,1.1005027563789072
147.0,0.7351443178574231,15.0,1.4425186853193611e-05,0.7975590482703061,0.021819944836148002,1.1983128886062655,1.332724225378567
116.0,2.47889002222658e-05,52.0,0.029075757573501,0.638161187869686,0.595741010417508,1.1804078382957428,1.2444331231959271
195.0,0.010109800835201375,18.0,0.004462699045768065,0.352,0.11239,1.2045636561152202,1.1928829487940456
118.0,0.0028571431489151093,69.0,0.057897178527444075,0.284,0.87424,1.0569837633745132,0.9315166596758548
148.0,0.048561433686758484,28.0,0.016373827095099477,0.894,0.7682,0.9975794119533857,1.03257127364667
151.0,0.00615835187599109,17.0,0.0052937837928389055,0.582,0.83479,0.9739430273683369,1.0388205769006265
144.0,0.03293142319563964,14.0,0.0013615497037311212,0.82,0.9242,1.096739063072616,1.0206513136926967
53.0,0.0003347125527178114,248.0,0.09685619415982265,0.196,0.997,1.071575902517898,0.996441814437081
154.0,0.0010996817052106866,14.0,0.0001784884014498092,0.335,0.89861,1.0806925877833706,1.0848036529894067
200.0,0.1,10.0,1e-05,0.9,0.999,1.1270469859178704,1.097793709786182
162.0,0.007667299005748261,38.0,0.037037033980482297,0.362,0.92689,0.9338741812677551,0.9330774499866028
184.0,0.005899096491764631,18.0,0.00497476992346145,0.767,0.67432,1.0517751029854827,1.167808415680207
176.0,0.00480591958831176,17.0,0.009965224796414507,0.527,0.60343,1.0328563470241718,1.0138126715631701
111.0,0.010132266403634129,13.0,0.004277649532704397,0.877,0.99899,1.028013843934918,1.080782730206589
71.0,0.008087567157796243,60.0,0.05884793122465056,0.868,0.99071,1.0259892076219503,0.9942554540715335
170.0,0.0027825591174480374,43.0,0.026952564871097682,0.237,0.92857,0.9575498594277196,0.9228522117211753
131.0,0.0048304378643919885,56.0,0.009152720492542258,0.713,0.92392,1.0035990655026672,1.0485219706968407
168.0,0.0038665158961161965,10.0,0.008745924017934071,0.261,0.99219,1.0806591361305202,1.0859318473520034
157.0,0.005886762301280799,18.0,0.0052937837928389055,0.582,0.83479,0.9788981367223869,1.02609203539547
127.0,0.002865509812689156,12.0,0.006107434246571846,0.356,0.92655,0.9294620057924814,0.9332347767044952
143.0,0.007812193647921139,11.0,0.0023206887664006305,0.548,0.94784,0.9483258493294301,0.9878383689568067
139.0,0.004559911354674709,22.0,0.0005647024864634636,0.279,0.98445,1.003825028026485,0.9380860865234187
119.0,0.03125003441790287,15.0,0.08254920593252348,0.726,0.99821,1.3332952780167122,1.245548983925937
123.0,0.008511380382023767,32.0,0.00630957344480193,0.8,0.95,0.9838824626519413,0.9499147996412431
174.0,0.005809255796470056,12.0,0.003441307650659845,0.443,0.93542,0.9637178167638443,0.9236872898899486
141.0,0.006985615859300103,13.0,0.002173937229173595,0.526,0.92564,0.9734236685222337,0.9738194738947733
143.0,0.02022032818004102,13.0,0.00043236576606965464,0.569,0.96021,0.9372477371228882,0.9796897715535197
