n_estimators,learning_rate,score,generalization_score
63.0,1.6646722614124752,0.5272978868851222,0.6302471493156019
87.0,1.722894536960943,0.5275024504930336,0.6191922146355728
66.0,0.008354270566129,0.5164404299396305,0.6102517816748183
37.0,0.000192116597574,0.5233832812305448,0.6377005883405692
35.0,0.024452630570839,0.5133071210212757,0.6217984446236896
14.0,0.03266058805816011,0.5340064968078968,0.6137649777763012
63.0,0.1,0.5262320405253809,0.5952900143061525
100.0,0.0026854371957715888,0.5233824759115102,0.6223206054221687
33.0,0.06026012108536262,0.517037179583449,0.5814432177123665
100.0,0.02939273505798893,0.5123395120344122,0.5943344043709544
100.0,0.2199459654692354,0.5184588583935501,0.5837801371149178
79.0,0.037259412265475585,0.5110522707269425,0.5929244612858455
76.0,0.00010000023025877443,0.5204985178184781,0.6325570224845356
100.0,0.07558210794618077,0.5134928907914684,0.5709991755652326
82.0,0.05721409068480456,0.5070940484194559,0.5852326914881651
15.0,0.0035129178994801496,0.5180989633305193,0.6338639694960625
85.0,0.09999976974175581,0.5220839050733209,0.5865964955426753
76.0,0.012045865231551035,0.5177672261953885,0.5980258933373808
23.0,0.30925091978709734,0.518256873250462,0.6004326054711211
69.0,0.037003431493342676,0.5124763804866845,0.6001697193105795
76.0,0.017951923959430762,0.516545672581662,0.5982179578990137
94.0,0.00963245524855416,0.5218574902105422,0.5995382021306086
84.0,0.017698155231338056,0.513108749222253,0.5900315643541251
100.0,0.08691005004475619,0.5112817683434223,0.5762914914480995
28.0,0.9999953948404178,0.5320616047195819,0.6056754583714415
15.0,0.10393336776288123,0.5164993199217067,0.6370225399904917
10.0,0.00010000023025877443,0.5247676853419593,0.6470265515093113
79.0,0.3182496978488215,0.5235272662184073,0.6040852417127021
16.0,0.04944347655305996,0.5138283164315879,0.6242631930463725
13.0,0.12806014817527642,0.5254263484425585,0.5562336686014809
