n_estimators,learning_rate,score,generalization_score
63,1.6646722614124752,1.0060938309766088,0.7815304055869147
87,1.722894536960943,0.9828584238596199,0.8737594657289213
66,0.008354270566129,0.9101680149955367,0.4887123540905976
37,0.000192116597574,0.8985062916870099,0.48065108689786396
35,0.024452630570839,0.9077006322015366,0.4954022502379855
15,0.0689,0.8911007320631394,0.5053610191231234
26,0.3556,0.8986132762906418,0.616145020343092
59,0.2064,0.9100792249661724,0.6449439328814798
67,0.4971,0.9363755481578929,0.7550518714320127
24,0.0947,0.9001035516445157,0.5594328052400118
13,0.0712,0.9000039951984586,0.48645754245236683
92,0.1468,0.9010079302423286,0.6337043270202175
42,0.0348,0.9010279818585772,0.509813134890819
78,0.0077,0.9113099486582593,0.49388110696739007
14,0.2002,0.9008063403836036,0.5746190691557408
19,0.5123,0.9240181301903798,0.6477796158706046
68,0.2394,0.8979912309037094,0.6718565237940596
12,0.6068,0.9432172117694652,0.6471110907227889
77,0.3196,0.9403463372392645,0.7052491592040714
16,0.0519,0.9029494308674952,0.5134713603901536
87,0.2542,0.8975739345856724,0.6725730224779863
10,1.0,0.9967633060877278,0.7577028806285553
79,0.0957,0.877543228500939,0.5756154803636004
57,0.1208,0.8914767316973025,0.5912777586017843
93,0.0876,0.8853641259822866,0.5658970961190994
