C,gamma,tol,score,generalization_score
44.30375245218264,0.000519026301769,0.002576638574613,1.007495490695203,0.3910701176246638
43.11710058685489,0.000265249637675,0.003833332156156,0.9979434232041922,0.3935529004419669
20.547625125911335,0.000779422611516,0.071556821617548,1.0086160240020323,0.3947864932059941
14.135935551752295,0.000619049016677,0.001304907355036,1.002456688938339,0.39326191317906084
50.598038746604296,0.0008425518534430001,1.9237305096546492e-05,1.0290620067890919,0.39449967122548624
500.1,0.0001,0.1,1.0030677607599807,0.3964047341672795
93.295,0.0002,0.02,0.9994520022543572,0.39262528144971526
624.0,0.0001,1e-05,1.0047824348541496,0.39456913165386137
151.0,0.0005,0.01543,1.0307201648016173,0.39372052998315554
107.0,0.0004,0.00453,1.010124471236914,0.3932335852697953
13.496,0.0007,0.01999,1.0036917763741557,0.3931753634912466
276.9,0.0001,0.01726,0.9975439318052723,0.39360428179403867
177.0,0.0002,0.02847,1.0044381215385136,0.3927406761882467
139.0,0.0007,0.03,1.0494402731670744,0.4055532115078061
1000.0,0.001,0.1,1.2548268567542344,0.5546342327298605
319.0,0.0004,0.01725,1.0419967310698612,0.39977815788338555
70.6,0.0005,0.03047,1.0111718739537832,0.39502724013696755
184.0,0.0006,0.02987,1.0490011987011205,0.4049943590811902
77.5,0.0004,0.06784,1.0091051224875518,0.39664597709844535
1.0,0.0001,1e-05,0.9995098493119755,0.39839382243664634
3.14159,0.0007,0.05792,0.9954921357853491,0.39754307288798574
473.0,0.0008,2e-05,1.0954618555078954,0.4064435532110545
13.369,0.00097,0.01649,1.0074860367348242,0.39252368373595403
1000.0,0.0001,0.0001,1.0078538575668616,0.391784943136258
5.835,0.0007,0.00125,0.9968379600741091,0.3932958791162239
