n_estimators,learning_rate,score,generalization_score
63,1.6646722614124752,1.0060938309766088,0.7815304055869147
87,1.722894536960943,0.9828584238596199,0.8737594657289213
66,0.008354270566129,0.9101680149955367,0.4887123540905976
37,0.000192116597574,0.8985062916870099,0.48065108689786396
35,0.024452630570839,0.9077006322015366,0.4954022502379855
49,2.1658,1.0256215482758013,0.8501068396793113
71,3.4122,1.358100991080812,1.5290978800425443
53,4.1617,2.6583957489357526,8.385367306995004
57,1.8576,0.9961590436293519,0.859488595668418
76,1.3164,0.9679367500146849,0.8150575280734734
43,2.7863,1.0185740735649904,0.7485024562454237
61,0.0038,0.9036443348771666,0.47112010115562036
50,1.5317,1.0074307705199301,0.9348026945402956
56,3.1418,1.2120565407120665,0.681536690327929
56,2.4897,0.9419817021110812,0.7543735881720348
