colsample_bytree,eta,max_depth,reg_lambda,acc,bal_acc,f1,precision,generalization_score,time_init,time_final,score
1.0,0.045929204672575,50.0,10.079368591308594,0.900924214417745,0.8883549013796965,0.8824289089723852,0.8771872633885975,0.900924214417745,1700238548.126979,1700238548.1423159,0.9612461059190031
0.699999988079071,0.004556754138320684,50.0,0.0009765625,0.8935304990757856,0.874307682175903,0.8723788322140463,0.870624091490277,0.8935304990757856,1700238548.1433141,1700238548.1580255,0.9598753894080996
0.30000001192092896,0.02126234397292137,20.0,0.02126234397292137,0.7756007393715342,0.708925219796503,0.7172411497112055,0.730246524369371,0.7756007393715342,1700238548.159531,1700238548.1742344,0.9196261682242991
0.8999999761581421,1.0,2.0,2.1601195335388184,0.8695009242144177,0.8473789061213737,0.8441540411078194,0.8413278285081736,0.8695009242144177,1700238548.1756423,1700238548.1903884,0.9252336448598131
0.10000000149011612,0.009843133389949799,1.0,1024.0,0.8151571164510167,0.747950212387632,0.762392789328614,0.7867393331504767,0.8151571164510167,1700238548.19178,1700238548.2064579,0.8265420560747663
0.6000000238418579,0.0009765625,13.0,0.09921256452798843,0.8916820702402957,0.8718973295136487,0.8700969978619696,0.8685332544689645,0.8916820702402957,1700238550.95634,1700238550.9937158,0.9591277258566977
0.20000000298023224,0.0021094917319715023,32.0,0.02126234397292137,0.7767097966728281,0.7108120122493332,0.7190287695588474,0.731738796667668,0.7767097966728281,1700238553.7442493,1700238553.7824612,0.9207476635514018
0.4000000059604645,0.0009765625,32.0,0.02126234397292137,0.8724584103512015,0.8432315848398038,0.8453708739394863,0.8477232849357508,0.8724584103512015,1700238555.6651556,1700238555.697373,0.9527725856697818
0.10000000149011612,0.0009765625,13.0,0.0009765625,0.7841035120147875,0.7237577793144325,0.7308074005334844,0.7407733752439093,0.7841035120147875,1700238559.3370874,1700238559.3743992,0.9214953271028037
0.4000000059604645,0.0009765625,20.0,0.4629373550415039,0.8765249537892792,0.8512512759722086,0.851237564078752,0.8513415245688565,0.8765249537892792,1700238608.8900442,1700238608.9242175,0.9532710280373833
0.699999988079071,0.02126234397292137,5.0,0.004556754138320684,0.8805914972273566,0.8607395699562055,0.857411663212233,0.8543919840300136,0.8805914972273566,1700238610.9530444,1700238610.9905286,0.9566355140186916
0.8999999761581421,0.02126234397292137,20.0,0.02126234397292137,0.8942698706099815,0.8759326945240213,0.8734572068459862,0.8711150809590763,0.8942698706099815,1700238613.436716,1700238613.4746375,0.9608722741433022
0.30000001192092896,0.009843133389949799,3.0,0.02126234397292137,0.799630314232902,0.745399914386381,0.751609072295813,0.7602531590825052,0.799630314232902,1700238668.6938908,1700238668.7096286,0.9209968847352025
0.30000001192092896,0.004556754138320684,20.0,0.02126234397292137,0.7756007393715342,0.708925219796503,0.7172411497112055,0.730246524369371,0.7756007393715342,1700238671.465982,1700238671.482104,0.9196261682242991
0.6000000238418579,0.004556754138320684,13.0,0.09921256452798843,0.8916820702402957,0.8718973295136487,0.8700969978619696,0.8685332544689645,0.8916820702402957,1700238673.2437468,1700238673.2597902,0.9591277258566977
0.30000001192092896,0.02126234397292137,13.0,0.4629373550415039,0.7822550831792976,0.719511673087688,0.7273667389831043,0.7388235322237058,0.7822550831792976,1700238728.9364982,1700238728.9709618,0.9213707165109035
0.6000000238418579,0.009843133389949799,13.0,0.4629373550415039,0.8924214417744916,0.873522341861767,0.8711686171690884,0.8690063760106033,0.8924214417744916,1700238731.6096725,1700238731.646449,0.9595015576323987
0.6000000238418579,0.02126234397292137,13.0,0.02126234397292137,0.8913123844731977,0.8712683986960388,0.8695605457310109,0.8681333008998693,0.8913123844731977,1700238733.5587933,1700238733.5966122,0.9585046728971964
0.5,0.02126234397292137,20.0,0.02126234397292137,0.8720887245841035,0.8448055582995818,0.8455542212784164,0.8463667253480024,0.8720887245841035,1700238794.6041179,1700238794.6396706,0.9517757009345793
0.4000000059604645,0.02126234397292137,13.0,0.02126234397292137,0.8743068391866913,0.8474776910665482,0.8481824645811886,0.8490966269372024,0.8743068391866913,1700238797.163212,1700238797.1990075,0.9527725856697818
0.699999988079071,0.02126234397292137,20.0,0.02126234397292137,0.8946395563770795,0.8754601732029372,0.8736344149872695,0.8720155640018716,0.8946395563770795,1700238851.1863887,1700238851.2226944,0.9598753894080998
0.30000001192092896,0.009843133389949799,13.0,0.09921256452798843,0.7837338262476894,0.7220273963581284,0.729582082246949,0.7406351354731027,0.7837338262476894,1700238911.146067,1700238911.1827757,0.9221183800623052
0.8999999761581421,0.21431098878383636,5.0,0.02126234397292137,0.8824399260628464,0.8638842240442557,0.8598768338479366,0.8562893007902624,0.8824399260628464,1700238913.9628196,1700238913.998945,0.956386292834891
0.8999999761581421,0.0009765625,5.0,0.4629373550415039,0.8853974121996302,0.8652441634561558,0.8627938217250936,0.8606399566512442,0.8853974121996302,1700238970.7354338,1700238970.7664235,0.9581308411214954
0.6000000238418579,0.009843133389949799,3.0,0.09921256452798843,0.8709796672828096,0.848426026540222,0.8457328594244732,0.8433120080702621,0.8709796672828096,1700239029.7233117,1700239029.7566113,0.9519003115264798
0.5,0.02126234397292137,8.0,0.09921256452798843,0.8739371534195932,0.8494188152392244,0.8484742722041329,0.8478450712954472,0.8739371534195932,1700239031.7495341,1700239031.7836483,0.9540186915887852
0.6000000238418579,0.02126234397292137,20.0,0.02126234397292137,0.8946395563770795,0.8754601732029372,0.8736344149872695,0.8720155640018716,0.8946395563770795,1700239096.1168742,1700239096.1523485,0.9598753894080998
