alpha,batch_size,depth,learning_rate_init,width,acc,bal_acc,f1,precision,generalization_score,time_init,time_final,score
0.00027825593,64,2,0.0059948424,101,0.8494117647058823,0.8503030303030303,0.847738761178443,0.8537299696248075,0.8494117647058823,1700199706.3314283,1700199706.395888,0.9341269841269841
0.0021544348,25,3,1.0,64,0.25411764705882356,0.25,0.10129060970182466,0.06352941176470589,0.25411764705882356,1700199706.3972163,1700199706.4441783,0.25317460317460316
0.016681006,40,2,0.27825594,25,0.25411764705882356,0.25,0.10130488450008818,0.06352941176470589,0.25411764705882356,1700199706.4462008,1700199706.4929295,0.25476190476190474
7.742637e-08,4,3,0.07742637,645,0.2941176470588235,0.2975,0.16338401723901563,0.18954922084669595,0.2941176470588235,1700199706.4949584,1700199706.5419078,0.2841269841269841
1.0,101,2,0.07742637,25,0.7788235294117647,0.7797835497835498,0.7723022412959042,0.8119023319069608,0.7788235294117647,1700199706.5439641,1700199706.5904696,0.7365079365079366
4.641589e-06,101,3,0.27825594,64,0.2847058823529412,0.2863636363636363,0.14005535124883284,0.1421099290780142,0.2847058823529412,1700199708.7894497,1700199708.8580053,0.2873015873015873
3.5938137e-05,16,2,0.0004641589,256,0.8588235294117648,0.8600432900432899,0.8589642417559258,0.8598125130018723,0.8588235294117648,1700199710.9493308,1700199711.0200157,0.9428571428571428
5.994842e-07,16,3,0.0004641589,645,0.851764705882353,0.8525757575757575,0.8520390722325392,0.8540860394709162,0.851764705882353,1700199714.9168983,1700199714.9817414,0.9404761904761905
4.641589e-06,10,2,0.021544347,256,0.6494117647058824,0.6551839826839827,0.6091604669171602,0.6350028334238861,0.6494117647058824,1700199717.219445,1700199717.2892025,0.7246031746031746
1e-08,25,3,1e-05,256,0.8188235294117647,0.8206601731601731,0.8179667252533211,0.8223034926553234,0.8188235294117647,1700199769.4731517,1700199769.5390382,0.8452380952380952
1e-08,6,3,0.0004641589,256,0.8494117647058823,0.8498593073593073,0.8485636610736458,0.8516298542788481,0.8494117647058823,1700199773.1349392,1700199773.2059753,0.9396825396825397
7.742637e-08,6,1,0.0004641589,256,0.8564705882352941,0.8569047619047621,0.8548813877060581,0.8578063480637009,0.8564705882352941,1700199775.8994265,1700199775.97214,0.9476190476190476
5.994842e-07,10,2,0.0004641589,645,0.8470588235294116,0.8478138528138529,0.8468349332328899,0.8487896925429904,0.8470588235294116,1700199827.1097379,1700199827.1704743,0.9444444444444444
1e-08,25,2,0.00012915497,645,0.8564705882352942,0.8573376623376624,0.8562273232438341,0.8574957692320392,0.8564705882352942,1700199829.1040423,1700199829.177369,0.9468253968253968
5.994842e-07,10,2,0.0004641589,256,0.8541176470588235,0.8547294372294374,0.8536798138659083,0.8554727817761874,0.8541176470588235,1700199830.7965298,1700199830.8686788,0.9404761904761905
1e-08,10,3,0.0004641589,645,0.84,0.8407792207792207,0.8393941596113117,0.8430537739787471,0.84,1700199887.7271595,1700199887.800462,0.9380952380952381
4.641589e-06,10,3,0.0016681006,645,0.8258823529411765,0.8266774891774892,0.8261033708961669,0.8342958124065103,0.8258823529411765,1700199890.6928277,1700199890.7672248,0.9325396825396826
7.742637e-08,6,3,0.0004641589,1024,0.8211764705882353,0.8220454545454545,0.8208172853507967,0.8253908440910729,0.8211764705882353,1700199947.2634723,1700199947.3361328,0.942063492063492
7.742637e-08,10,2,0.00012915497,645,0.8564705882352941,0.8573376623376625,0.8560287054981129,0.857552940321819,0.8564705882352941,1700199949.2709627,1700199949.3442903,0.9468253968253968
5.994842e-07,4,1,0.0004641589,161,0.8541176470588234,0.8549675324675325,0.852691551976152,0.8548320862966172,0.8541176470588234,1700199950.9946325,1700199951.0648003,0.942063492063492
1e-08,16,3,0.0059948424,101,0.8352941176470589,0.8362337662337662,0.8345818323704312,0.8380442075230573,0.8352941176470589,1700200008.0125315,1700200008.0844254,0.9349206349206349
1e-08,4,2,0.0004641589,1024,0.8305882352941176,0.8312445887445888,0.8283332953562614,0.8321302346903034,0.8305882352941176,1700200010.588404,1700200010.6606781,0.942063492063492
5.994842e-07,10,3,0.0004641589,645,0.8423529411764705,0.8432683982683982,0.8425261399878399,0.8450914474242648,0.8423529411764705,1700200127.9351358,1700200128.0050094,0.942063492063492
5.994842e-07,4,3,1e-05,256,0.8611764705882352,0.8623376623376624,0.8598194095562217,0.8626077297988054,0.8611764705882352,1700200129.9334953,1700200130.0041282,0.9222222222222222
0.0021544348,16,2,0.0004641589,256,0.8588235294117648,0.8596103896103897,0.8588009008454642,0.8599499737486009,0.8588235294117648,1700200187.906305,1700200187.9771183,0.9452380952380952
1e-08,4,1,0.00012915497,101,0.8729411764705883,0.8740151515151515,0.8723853391081313,0.87328612209047,0.8729411764705883,1700200189.98041,1700200190.0497677,0.8880952380952382
5.994842e-07,4,3,0.00012915497,645,0.8376470588235294,0.838387445887446,0.8382053219876959,0.8419067813751486,0.8376470588235294,1700200248.3237243,1700200248.399305,0.942063492063492
1e-08,6,3,1e-05,101,0.8164705882352941,0.8181709956709956,0.8149311379352755,0.8174399968248399,0.8164705882352941,1700200307.56145,1700200307.6322563,0.8214285714285714
1e-08,16,1,0.0004641589,406,0.8611764705882353,0.8620021645021645,0.8594420095805824,0.8606998590019186,0.8611764705882353,1700200309.0616927,1700200309.1356192,0.942063492063492
1e-08,4,2,1e-05,256,0.828235294117647,0.83008658008658,0.8268653784069877,0.8285844056782272,0.828235294117647,1700200368.640811,1700200368.7123911,0.8674603174603174
