alpha,batch_size,depth,learning_rate_init,width,acc,bal_acc,f1,precision,generalization_score,time_init,time_final,score
1.0,40,3,0.021544347,256,0.7704251386321628,0.717376271856169,0.7198504380041642,0.7230893115326698,0.7704251386321628,1700239216.086518,1700239216.1491504,0.7841744548286604
5.994842e-07,256,1,0.00012915497,101,0.8155268022181146,0.7728110902565115,0.7755249231216134,0.7790451378192613,0.8155268022181146,1700239216.1504233,1700239216.1936762,0.8118380062305295
0.016681006,10,3,1.0,25,0.7060998151571165,0.5,0.4138678223185266,0.35304990757855825,0.7060998151571165,1700239216.1958523,1700239216.2393343,0.7065420560747664
0.00027825593,4,2,1e-05,1024,0.8661737523105361,0.8406170766241892,0.8392532044389271,0.8388970088826906,0.8661737523105361,1700239216.2410183,1700239216.2845922,0.8851090342679129
3.5938137e-05,256,3,0.27825594,40,0.7630314232902033,0.6816671605913925,0.6310495668046002,0.6063390783369199,0.7630314232902033,1700239216.286652,1700239216.3300815,0.7542679127725858
0.00027825593,4,3,0.00012915497,256,0.8931608133086877,0.8622970792584543,0.8687622246848489,0.8788518495328437,0.8931608133086877,1700239218.5137138,1700239218.5808241,0.9446728971962617
1.0,4,3,1e-05,1024,0.7060998151571165,0.5,0.4138678223185266,0.35304990757855825,0.7060998151571165,1700239221.7382207,1700239221.8056061,0.7065420560747664
0.00027825593,4,3,0.00012915497,645,0.8994454713493529,0.8744575060094176,0.8777380771451972,0.8816449926682329,0.8994454713493529,1700239223.6995091,1700239223.7653337,0.9512772585669781
3.5938137e-05,6,3,0.0004641589,161,0.8913123844731978,0.8624567815864863,0.8672316240329215,0.872671830573758,0.8913123844731978,1700239225.5794053,1700239225.6468537,0.9446728971962617
0.00027825593,40,3,0.0004641589,645,0.8950092421441775,0.8669103361980968,0.8716796978601964,0.8780742881355126,0.8950092421441775,1700239276.9896414,1700239277.0579462,0.9501557632398754
1.0,4,3,1e-05,645,0.7060998151571165,0.5,0.4138678223185266,0.35304990757855825,0.7060998151571165,1700239280.1727536,1700239280.2379324,0.7065420560747664
4.641589e-06,6,3,0.021544347,161,0.831792975970425,0.7674404820705324,0.7811365968394346,0.8211740263291786,0.831792975970425,1700239282.9139142,1700239282.984031,0.8353894080996884
0.00027825593,16,2,0.0004641589,256,0.88724584103512,0.8661859132668182,0.8645533762556049,0.8651270212096772,0.88724584103512,1700239337.0166585,1700239337.08161,0.9294704049844237
5.994842e-07,10,3,0.0004641589,645,0.8990757855822551,0.8719928216273173,0.8766976265959228,0.8825742454762848,0.8990757855822551,1700239339.1373982,1700239339.2017307,0.9507788161993769
4.641589e-06,4,3,1e-05,645,0.8846580406654344,0.8614162468306497,0.8610518577574993,0.8618625608009589,0.8846580406654344,1700239341.388062,1700239341.4532843,0.9242367601246106
4.641589e-06,6,2,0.0004641589,406,0.8950092421441773,0.8720504461786691,0.8730920110045589,0.8750138018173531,0.8950092421441773,1700239398.247092,1700239398.3126888,0.9497819314641743
4.641589e-06,4,3,1e-05,256,0.8713493530499077,0.8439148473772597,0.8446996626185199,0.8463059129440339,0.8713493530499077,1700239400.173232,1700239400.2411668,0.8934579439252337
0.00027825593,4,3,0.00012915497,645,0.8994454713493529,0.8744575060094176,0.8777380771451972,0.8816449926682329,0.8994454713493529,1700239457.069811,1700239457.1373963,0.9512772585669781
5.994842e-07,101,2,0.0004641589,161,0.8731977818853974,0.8426536929105337,0.8456617489286103,0.8497991470289562,0.8731977818853974,1700239459.9957747,1700239460.06417,0.9045482866043615
1e-08,101,3,0.0004641589,161,0.8846580406654344,0.8570104382758734,0.8598501206516387,0.8645151782697846,0.8846580406654344,1700239462.0259438,1700239462.0933208,0.9363239875389407
3.5938137e-05,6,2,0.00012915497,161,0.8802218114602588,0.8579077348612072,0.8562644934948114,0.8550181053974506,0.8802218114602588,1700239518.5676756,1700239518.6370707,0.9094080996884735
4.641589e-06,10,2,0.0004641589,406,0.8961182994454714,0.8757729921959894,0.8751658591682234,0.8748216539089233,0.8961182994454714,1700239520.676395,1700239520.7431126,0.9439252336448598
0.00027825593,101,3,1e-05,645,0.8609981515711644,0.8307105930389542,0.8319101354302204,0.83324401692294,0.8609981515711644,1700239637.7275126,1700239637.796028,0.8737694704049843
1e-08,6,3,0.0004641589,645,0.8924214417744917,0.8661793276038064,0.8692375534475799,0.8731794663166978,0.8924214417744917,1700239639.62174,1700239639.6760192,0.9471651090342679
3.5938137e-05,4,3,0.0004641589,645,0.8887245841035118,0.862460074417992,0.864992130636463,0.8677737889489783,0.8887245841035118,1700239697.6252332,1700239697.6927197,0.9456697819314643
1e-08,10,3,0.0004641589,645,0.8898336414048059,0.8658154697224143,0.8668220689471988,0.8683592455702727,0.8898336414048059,1700239700.6977909,1700239700.7617898,0.9479127725856697
3.5938137e-05,4,3,0.0004641589,645,0.8887245841035118,0.862460074417992,0.864992130636463,0.8677737889489783,0.8887245841035118,1700239758.731971,1700239758.7971952,0.9456697819314643
0.00027825593,10,2,0.0004641589,256,0.8887245841035121,0.8683344858243605,0.8665745753820232,0.8659474681805829,0.8887245841035121,1700239817.3015149,1700239817.3653374,0.9335825545171339
3.5938137e-05,4,3,0.00012915497,161,0.8868761552680221,0.8615183246073298,0.8630425280942281,0.8651262670576102,0.8868761552680221,1700239820.624595,1700239820.6916232,0.9414330218068535
0.00027825593,4,2,0.0004641589,645,0.8983364140480592,0.8773436728242615,0.8774808728671107,0.8778142445172962,0.8983364140480592,1700239877.6783264,1700239877.7451777,0.9456697819314643
