max_depth,max_features,min_samples_leaf,min_samples_split,acc,bal_acc,f1,precision,generalization_score,time_init,time_final,score
8.0,0.6666666865348816,7.0,20.0,0.7893333333333334,0.6371345029239766,0.654691769170429,0.7127182886557886,0.7893333333333334,1700155032.8860137,1700155032.900747,0.7865470852017938
32.0,0.8888888955116272,3.0,5.0,0.776,0.6169590643274854,0.6303974557356731,0.6856240712024293,0.776,1700155032.901738,1700155032.9162858,0.8134529147982063
1.0,0.4444444477558136,1.0,12.0,0.76,0.5,0.4318181818181818,0.38,0.76,1700155032.9177237,1700155032.932141,0.7623318385650224
13.0,0.3333333432674408,13.0,20.0,0.7813333333333334,0.6242690058479532,0.6398670572135983,0.697472804972805,0.7813333333333334,1700155032.933518,1700155032.9478474,0.7883408071748879
1.0,0.5555555820465088,5.0,12.0,0.76,0.5,0.4318181818181818,0.38,0.76,1700155032.9492216,1700155032.9635787,0.7623318385650224
20.0,0.8888888955116272,5.0,12.0,0.784,0.6222222222222222,0.6376116669192683,0.7028015118173699,0.784,1700155034.7519565,1700155034.768355,0.7964125560538117
32.0,0.7777777910232544,1.0,5.0,0.7573333333333334,0.6046783625730994,0.6140137493389741,0.6464705187285833,0.7573333333333334,1700155037.3166676,1700155037.3331008,0.8286995515695068
13.0,0.7777777910232544,1.0,3.0,0.7466666666666668,0.5976608187134503,0.6053153204027912,0.6287605651516941,0.7466666666666668,1700155040.1060545,1700155040.1432843,0.8466367713004483
13.0,0.5555555820465088,1.0,2.0,0.7466666666666668,0.593859649122807,0.6017193781768593,0.6291578696804108,0.7466666666666668,1700155042.8461194,1700155042.8676214,0.8439461883408071
13.0,0.3333333432674408,5.0,2.0,0.7786666666666666,0.6187134502923977,0.6327234185690802,0.6899872349872349,0.7786666666666666,1700155046.2581909,1700155046.2941973,0.7955156950672646
32.0,0.6666666865348816,1.0,2.0,0.744,0.595906432748538,0.6038199150627993,0.6266138879042105,0.744,1700155095.808375,1700155095.8424745,0.8511210762331839
20.0,1.0,1.0,2.0,0.736,0.5906432748538011,0.5973793672745206,0.6158479469293854,0.736,1700155099.1958203,1700155099.2261224,0.8466367713004483
20.0,0.7777777910232544,1.0,2.0,0.7413333333333333,0.5941520467836258,0.6014401017377974,0.6224768826566817,0.7413333333333333,1700155101.1281521,1700155101.1627412,0.8511210762331839
8.0,0.7777777910232544,1.0,2.0,0.7573333333333334,0.6008771929824561,0.6100333810188193,0.6471036659236286,0.7573333333333334,1700155102.675242,1700155102.7039368,0.8385650224215248
20.0,0.8888888955116272,1.0,3.0,0.744,0.595906432748538,0.6029355070777893,0.6246235599041654,0.744,1700155154.522709,1700155154.5563598,0.8466367713004483
32.0,0.5555555820465088,1.0,2.0,0.7493333333333334,0.5956140350877193,0.6038992862486425,0.6340158242258653,0.7493333333333334,1700155157.241888,1700155157.2750914,0.8457399103139013
32.0,0.6666666865348816,1.0,2.0,0.744,0.595906432748538,0.6038199150627993,0.6266138879042105,0.744,1700155214.428933,1700155214.466027,0.8511210762331839
32.0,0.5555555820465088,1.0,2.0,0.7493333333333334,0.5956140350877193,0.6038992862486425,0.6340158242258653,0.7493333333333334,1700155215.902517,1700155215.9303503,0.8457399103139013
8.0,0.5555555820465088,1.0,3.0,0.7653333333333333,0.6099415204678362,0.6217219207000411,0.6642915764790764,0.7653333333333333,1700155217.295748,1700155217.3309052,0.8331838565022421
32.0,0.8888888955116272,1.0,2.0,0.744,0.595906432748538,0.6038199150627993,0.6266138879042105,0.744,1700155219.135436,1700155219.1709173,0.8511210762331839
13.0,0.5555555820465088,1.0,2.0,0.7466666666666668,0.593859649122807,0.6017193781768593,0.6291578696804108,0.7466666666666668,1700155274.822295,1700155274.8413923,0.8439461883408071
13.0,0.3333333432674408,1.0,2.0,0.7466666666666668,0.593859649122807,0.6017193781768593,0.6291578696804108,0.7466666666666668,1700155276.589108,1700155276.60537,0.8439461883408071
20.0,0.8888888955116272,3.0,8.0,0.776,0.6169590643274854,0.6303974557356731,0.6856240712024293,0.776,1700155333.7717555,1700155333.7991712,0.8080717488789239
50.0,0.8888888955116272,1.0,2.0,0.744,0.595906432748538,0.6038199150627993,0.6266138879042105,0.744,1700155393.6050017,1700155393.638348,0.8511210762331839
8.0,0.4444444477558136,1.0,2.0,0.7626666666666667,0.6081871345029239,0.6191760861792849,0.6587157287157287,0.7626666666666667,1700155395.6036696,1700155395.6315897,0.8349775784753364
32.0,0.7777777910232544,1.0,2.0,0.744,0.595906432748538,0.6038199150627993,0.6266138879042105,0.744,1700155396.8267145,1700155396.8548152,0.8511210762331839
8.0,0.8888888955116272,1.0,3.0,0.76,0.6026315789473684,0.6122132890906027,0.6519616204690831,0.76,1700155454.0941236,1700155454.1251974,0.8349775784753362
20.0,0.7777777910232544,1.0,2.0,0.7413333333333333,0.5941520467836258,0.6014401017377974,0.6224768826566817,0.7413333333333333,1700155457.8514562,1700155457.8678393,0.8511210762331839
32.0,0.8888888955116272,1.0,3.0,0.744,0.595906432748538,0.6029355070777893,0.6246235599041654,0.744,1700155513.9567866,1700155513.9914083,0.8466367713004483
20.0,0.4444444477558136,1.0,2.0,0.7493333333333334,0.5956140350877193,0.6038992862486425,0.6340158242258653,0.7493333333333334,1700155517.7081082,1700155517.7381406,0.8457399103139013
