n_estimators,learning_rate,score,generalization_score
16.0,1.583963679227197,0.888177339901478,1.0
21.0,0.07023549332126301,0.9576354679802955,0.8888888888888888
49.0,0.000124090931101,0.7177339901477832,0.6388888888888888
14.0,0.001735567408628,0.8731527093596059,0.9166666666666666
18.0,0.29793276259370205,0.9364532019704435,0.9722222222222222
77.0,0.7678351687527191,0.97192118226601,0.9722222222222222
83.0,0.7634612516925906,0.9647783251231529,0.9444444444444444
83.0,0.7678351687527191,0.97192118226601,0.9722222222222222
95.0,0.8290467096547226,0.9719211822660098,0.9722222222222222
92.0,0.81098533320612,0.9647783251231529,0.9444444444444444
92.0,0.8314995145428341,0.9578817733990148,0.9722222222222222
100.0,0.8290467096547226,0.97192118226601,0.9722222222222222
96.0,0.8263118862538975,0.9650246305418719,0.9722222222222222
96.0,0.8314995145428341,0.9647783251231526,0.9722222222222222
88.0,0.7774491624002788,0.9650246305418719,1.0
84.0,0.7678351687527191,0.97192118226601,0.9722222222222222
97.0,0.8290581634374127,0.97192118226601,0.9722222222222222
88.0,0.7644216875370475,0.9504926108374386,0.9444444444444444
99.0,0.8263271076215426,0.9650246305418719,0.9722222222222222
88.0,0.8290581634374127,0.9719211822660098,0.9722222222222222
91.0,0.8290486186075154,0.9719211822660098,0.9722222222222222
93.0,0.8290524365262876,0.9647783251231526,0.9722222222222222
94.0,0.8290467096547226,0.9647783251231526,0.9722222222222222
87.0,0.8290467096547226,0.9719211822660098,0.9722222222222222
90.0,0.8290505275647038,0.9647783251231526,0.9722222222222222
81.0,0.8290467096547226,0.9719211822660098,0.9722222222222222
93.0,0.8290543454922671,0.9647783251231526,0.9722222222222222
99.0,0.8290562544626421,0.9647783251231526,0.9722222222222222
78.0,0.7678351687527191,0.97192118226601,0.9722222222222222
92.0,0.8290486186075154,0.9719211822660098,0.9722222222222222
