colsample_bytree,eta,max_depth,reg_lambda,acc,bal_acc,f1,precision,generalization_score,time_init,time_final,score
0.5,0.0009765625,8.0,0.4629373550415039,0.76,0.7047619047619047,0.7086642139503774,0.7137221859824598,0.76,1700170363.50181,1700170363.5169759,0.8962962962962961
0.5,0.009843133389949799,3.0,10.079368591308594,0.742,0.6842857142857142,0.6871870782549487,0.691553821139404,0.742,1700170363.5179946,1700170363.53257,0.8909090909090909
0.4000000059604645,0.004556754138320684,13.0,2.1601195335388184,0.762,0.7061904761904761,0.7103060202965615,0.7161477228721557,0.762,1700170363.53404,1700170363.5484734,0.8922558922558922
0.20000000298023224,0.045929204672575,2.0,47.0315055847168,0.76,0.6971428571428571,0.7041945410344752,0.7156248955722639,0.76,1700170363.549876,1700170363.5647202,0.8276094276094277
0.8999999761581421,0.02126234397292137,32.0,0.004556754138320684,0.758,0.7128571428571429,0.7124261379738724,0.7127820484681866,0.758,1700170363.5661173,1700170363.5805619,0.8882154882154882
0.6000000238418579,0.009843133389949799,2.0,0.02126234397292137,0.752,0.7028571428571428,0.7024391860951424,0.70517009737321,0.752,1700170365.9013698,1700170365.93828,0.8895622895622897
0.30000001192092896,0.009843133389949799,1.0,0.09921256452798843,0.766,0.6919047619047619,0.7020839448409744,0.7230353280461428,0.766,1700170368.4173036,1700170368.4477568,0.7912457912457912
0.10000000149011612,0.02126234397292137,3.0,2.1601195335388184,0.744,0.6799999999999999,0.6854613492664982,0.6937029406827854,0.744,1700170370.3472447,1700170370.3831317,0.8942760942760943
0.6000000238418579,0.02126234397292137,13.0,0.4629373550415039,0.756,0.7038095238095238,0.7061580641398806,0.7099767545249884,0.756,1700170372.5296824,1700170372.5611167,0.8895622895622897
0.30000001192092896,0.004556754138320684,2.0,0.4629373550415039,0.75,0.7033333333333334,0.7027396562329464,0.7028806608415576,0.75,1700170425.2690082,1700170425.3035948,0.8895622895622897
0.10000000149011612,0.0009765625,50.0,1024.0,0.764,0.6714285714285715,0.6832201418428285,0.7250329938040587,0.764,1700170426.8197663,1700170426.855364,0.7670033670033669
0.10000000149011612,0.0009765625,8.0,2.1601195335388184,0.75,0.6861904761904762,0.6920297998369878,0.7007372702372703,0.75,1700170429.2702432,1700170429.3060029,0.8976430976430976
0.5,0.009843133389949799,2.0,47.0315055847168,0.74,0.680952380952381,0.6844683912984044,0.6907503961676472,0.74,1700170484.0979192,1700170484.1341333,0.8316498316498316
0.10000000149011612,0.0009765625,8.0,219.45445251464844,0.78,0.7076190476190476,0.7194039276087794,0.7430489384293731,0.78,1700170485.617268,1700170485.6546526,0.8215488215488216
0.8999999761581421,0.4629373550415039,8.0,2.1601195335388184,0.74,0.6866666666666668,0.6880512901318393,0.6899394795641823,0.74,1700170487.330442,1700170487.3667343,0.8868686868686868
0.8999999761581421,0.09921256452798843,3.0,0.09921256452798843,0.728,0.6742857142857144,0.6750235785961087,0.6766577406811329,0.728,1700170544.6473691,1700170544.6834428,0.8922558922558922
0.6000000238418579,0.009843133389949799,5.0,2.1601195335388184,0.746,0.6947619047619048,0.695585727976022,0.697778023825615,0.746,1700170547.1156237,1700170547.151373,0.8902356902356903
0.30000001192092896,0.0021094917319715023,5.0,47.0315055847168,0.762,0.7042857142857142,0.7089330156476177,0.7178814316882725,0.762,1700170604.1195152,1700170604.1525612,0.8915824915824915
0.20000000298023224,0.0009765625,5.0,47.0315055847168,0.768,0.7028571428571428,0.7110261454439537,0.7257284915179651,0.768,1700170605.8777525,1700170605.9147735,0.890909090909091
0.4000000059604645,0.009843133389949799,2.0,0.02126234397292137,0.752,0.7047619047619047,0.70493960693823,0.7072263729347406,0.752,1700170607.3099542,1700170607.3434482,0.8902356902356903
0.20000000298023224,0.045929204672575,3.0,2.1601195335388184,0.754,0.6947619047619047,0.6996737226790071,0.7074440267066174,0.754,1700170665.8132792,1700170665.8497665,0.8949494949494948
0.10000000149011612,0.0009765625,2.0,0.02126234397292137,0.752,0.6971428571428573,0.6998880160101685,0.7043654857993094,0.752,1700170725.884639,1700170725.9200795,0.8895622895622894
0.6000000238418579,0.009843133389949799,8.0,0.09921256452798843,0.764,0.7133333333333333,0.7156076797798107,0.718838290580643,0.764,1700170784.7172914,1700170784.7523704,0.8902356902356902
0.10000000149011612,0.02126234397292137,3.0,10.079368591308594,0.762,0.6985714285714286,0.705140408275899,0.7167236849584637,0.762,1700170788.1171253,1700170788.1542156,0.8801346801346801
0.20000000298023224,0.0021094917319715023,8.0,0.02126234397292137,0.744,0.6799999999999999,0.6853830563731116,0.6943592039919498,0.744,1700170844.9489708,1700170844.984134,0.8875420875420875
0.10000000149011612,0.009843133389949799,32.0,0.02126234397292137,0.74,0.6714285714285714,0.6776114897471388,0.6878144642943089,0.74,1700170847.483257,1700170847.5204678,0.8936026936026936
0.20000000298023224,0.009843133389949799,2.0,0.02126234397292137,0.74,0.6866666666666666,0.6879791274115686,0.6915934436847118,0.74,1700170906.2838078,1700170906.3184972,0.8936026936026936
0.5,0.004556754138320684,1.0,2.1601195335388184,0.766,0.69,0.7006896355084151,0.7242639891753815,0.766,1700170964.9918265,1700170965.0244253,0.7905723905723905
0.5,0.0009765625,3.0,0.09921256452798843,0.744,0.6914285714285715,0.6929078481328139,0.6952908710363048,0.744,1700170967.291189,1700170967.3263223,0.8956228956228957
0.10000000149011612,0.0021094917319715023,20.0,0.4629373550415039,0.746,0.6814285714285715,0.687147474225617,0.6974551564577357,0.746,1700171025.8754413,1700171025.9103856,0.8996632996632996
