n_estimators,learning_rate,score,generalization_score
63,1.6646722614124752,1.2808131534897729,0.703347818363794
87,1.722894536960943,1.2207263832723938,0.6380608728639928
66,0.008354270566129,1.0087501085872044,0.41800122301186693
37,0.000192116597574,1.0077254524232686,0.4112901240972065
35,0.024452630570839,1.0117815874537976,0.4209264640127345
86,0.0443,1.0149915322037493,0.43366556263361244
82,0.001,1.010347306408031,0.41482390862033847
89,0.0913,1.0319807349228611,0.4453881147850546
100,0.0001,1.0111926889158105,0.4143747783767163
41,0.189,1.0312720305097896,0.42883026671185104
67,0.0001,1.0109611777709357,0.4155969439613981
25,0.0001,1.006960676469172,0.41565390663005464
28,0.0001,1.0032580056537945,0.4137371432602717
13,0.0001,1.0089176421234056,0.4360439206489773
12,0.0001,1.00756117848892,0.4396308383510891
99,0.0001,1.0114425867601624,0.4152233743076557
44,0.0003,1.009133114700467,0.4125921817677392
29,0.0001,1.0049567199816025,0.41381564653424
22,0.0001,1.0064965806515602,0.4299959232831204
68,0.0001,1.010781256765085,0.4150829247834375
68,0.0442,1.016028297444625,0.43394931318336794
71,0.0001,1.01097550832332,0.416067054707343
94,0.0011,1.0102023910151428,0.415530154531536
34,0.0513,1.0068404718392827,0.43280797696783263
26,0.0002,1.0058219677553004,0.4117796962867309
