n_estimators,learning_rate,score,generalization_score
63.0,1.6646722614124752,0.586849628989302,0.7358651671141067
87.0,1.722894536960943,0.5914206310822974,0.6919401215141364
66.0,0.008354270566129,0.8053136023716295,0.9041447846125809
37.0,0.000192116597574,0.824748734471212,0.9238730491783336
35.0,0.024452630570839,0.8219195044264399,0.8823898576902445
32.0,0.14215397231098778,0.7552139179060718,0.8999463356992279
58.0,0.133663552626911,0.7428509586919161,0.825021351476796
100.0,0.1,0.683361993938477,0.8072366099064986
98.0,0.6408995992162433,0.625001369952048,0.7054990650493906
100.0,0.005353391438046933,0.8003677957822625,0.881953328953299
94.0,0.1552147536717134,0.6689656576542264,0.7778217225755322
100.0,0.02595804613709732,0.8063999958800212,0.8575219929250227
81.0,0.47811019005856276,0.6094974551552607,0.7474324377682603
100.0,0.9332800879225436,0.6561907768006088,0.6764359360380939
100.0,0.9921218170465275,0.5935791414990204,0.6997599702870335
100.0,0.9688733270434068,0.6254609506484694,0.6981183827217518
100.0,0.998833270516566,0.609606812514513,0.7008295723353551
100.0,0.47398980436989524,0.6193419939103756,0.7216353455749381
51.0,0.2968779893314001,0.6599831207935654,0.7740135271291703
72.0,0.39810167053767215,0.6452315098396783,0.7462704515631933
52.0,0.00010000023025877443,0.8297181959536426,0.9146646846621426
81.0,0.3795858371888084,0.6173085030586005,0.7809970897216627
63.0,0.9688710961326954,0.61404792155886,0.7070944449383287
100.0,0.9049654522566016,0.6052962696726338,0.7263614831476378
79.0,0.5757527221781817,0.6364262824533722,0.7120736627441191
78.0,0.6947539106099049,0.6298778698984941,0.7460736169183737
63.0,0.15719944195620095,0.6918709621309806,0.8268630883094369
87.0,0.1,0.6816452434818598,0.8236966469212936
100.0,0.9961093118538554,0.6046585300754982,0.6779688514705202
100.0,0.19858434098931857,0.6458564325113285,0.7549445543564081
