hidden_layer_sizes,alpha,batch_size,learning_rate_init,power_t,momentum,score,generalization_score
200.0,3.938620672443622,41.0,0.099120175266208,0.16799104738110301,0.015472833880662002,0.7166666666666666,0.7333333333333333
108.0,0.10434609979357301,235.0,0.024279719592336,0.199039332673625,0.037446959101,0.5833333333333333,0.5666666666666667
117.0,0.00023848621577000003,138.0,0.045273919917888004,0.27307645938327,0.019584322761279003,0.6916666666666667,0.6333333333333333
191.0,0.468096526017641,182.0,0.016256611075126,0.12261807012299801,0.035828819856501,0.6083333333333333,0.4666666666666667
180.0,0.9438031971786861,209.0,0.00012365164457100002,0.11390227044541101,0.10263435748586001,0.0,0.0
199.0,0.04770188048874295,46.0,0.015397396731114812,0.334,0.96235,0.8333333333333334,0.9
199.0,0.2756260111186995,13.0,0.08949420202347899,0.175,0.99792,0.9166666666666667,0.9666666666666667
184.0,0.5380295141743479,12.0,0.07784867048493398,0.149,0.99367,0.975,0.9666666666666667
85.0,0.7536199731137909,13.0,0.057749123897007155,0.186,0.99097,0.9416666666666667,0.9
186.0,0.5144296595766162,11.0,0.08510612168132824,0.125,0.99556,0.7416666666666667,0.9333333333333333
150.0,0.15313582408873216,21.0,0.08437030129109192,0.501,0.9002,0.9166666666666666,0.7666666666666667
200.0,0.5554941632069976,11.0,0.0877238735078841,0.238,0.99297,0.95,0.7666666666666667
132.0,0.4129004916506461,10.0,0.08322072596807635,0.132,0.99692,0.9,0.9666666666666667
118.0,0.5036435773063708,16.0,0.08556004414986916,0.148,0.99673,0.85,0.8333333333333334
200.0,0.28272915812552885,10.0,0.06400639981419044,0.509,0.98517,0.9583333333333334,0.9666666666666667
196.0,0.44774536625151984,14.0,0.07628906636878043,0.124,0.99726,0.9083333333333332,0.9666666666666667
200.0,0.7874806661474731,10.0,0.05263151846853071,0.753,0.99868,0.9083333333333334,0.8
186.0,0.5317091083700063,11.0,0.0745756762119959,0.111,0.99662,0.8333333333333333,0.9666666666666667
200.0,0.5380295141743479,12.0,0.07784867048493398,0.149,0.99367,0.9083333333333334,0.9666666666666667
184.0,0.5380295141743479,12.0,0.07784867048493398,0.149,0.99367,0.975,0.9666666666666667
200.0,0.5380295141743479,12.0,0.07784867048493398,0.149,0.99367,0.9083333333333334,0.9666666666666667
184.0,0.5380295141743479,12.0,0.07784867048493398,0.149,0.99367,0.975,0.9666666666666667
185.0,0.5380295141743479,12.0,0.07784867048493398,0.149,0.99367,0.9,0.9666666666666667
200.0,0.5380295141743479,12.0,0.07784867048493398,0.149,0.99367,0.9083333333333334,0.9666666666666667
193.0,0.5380295141743479,12.0,0.07784867048493398,0.149,0.99367,0.8333333333333334,1.0
184.0,0.5380295141743479,12.0,0.07784867048493398,0.149,0.99367,0.975,0.9666666666666667
184.0,0.5380295141743479,12.0,0.07784867048493398,0.149,0.99367,0.975,0.9666666666666667
200.0,0.5380295141743479,12.0,0.07784867048493398,0.149,0.99367,0.9083333333333334,0.9666666666666667
184.0,0.5380295141743479,12.0,0.07784867048493398,0.149,0.99367,0.975,0.9666666666666667
177.0,0.5419622036840824,11.0,0.07784867048493398,0.149,0.99367,0.95,1.0
