n_estimators,learning_rate,score,generalization_score
63.0,1.6646722614124752,0.7568448743827105,0.6995133167453281
87.0,1.722894536960943,0.7062329924078495,0.6037782732693942
66.0,0.008354270566129,0.9186590110258018,0.7663433775246518
37.0,0.000192116597574,0.9373030459669549,0.8092210875396748
35.0,0.024452630570839,0.9059446238551618,0.7529550819344828
74.0,0.5412987198461937,0.7588727506230584,0.7080080265800263
99.0,0.14547487744662688,0.7829760896859522,0.7179587188570844
87.0,0.0007435274385249479,0.9416569061863459,0.7819600410909007
74.0,0.09999953948404176,0.8431353893402852,0.7054231686122062
100.0,0.10000046051807897,0.8204413022981146,0.6961659119111486
100.0,0.01,0.8817250323465075,0.7554208360597928
18.0,0.003922265609054338,0.9707144935643053,0.7931969707954576
67.0,0.07440703517995181,0.8412735522324464,0.7515435652002536
100.0,0.05261323429305335,0.8341361281160837,0.6908749421667847
32.0,0.4146235827101094,0.8076687435772165,0.7410450666445308
56.0,0.9065233603878525,0.7391316282074717,0.6868624084640936
76.0,0.2061227841743801,0.7830964010713485,0.7115466950358886
44.0,0.35510517386740853,0.8108096378260168,0.7638752593167348
17.0,0.1000002302587744,0.9333694752268654,0.7423536516842911
100.0,0.4393665601254758,0.7373005919899678,0.6849107910646404
100.0,0.5482504540201253,0.7425012676688135,0.6920511967374153
100.0,0.3326319792674436,0.7776321432385132,0.7251303069690006
32.0,0.11254235533098353,0.9040015749954418,0.7549893512436057
35.0,0.14785567558452797,0.8392936988846929,0.7210647797788033
35.0,0.0010000023025877442,0.9674420524269683,0.795705023203968
74.0,0.260810456927302,0.7993117133006111,0.7216580793529599
76.0,0.11307041860480625,0.8209610281118515,0.7196742007014187
27.0,0.18175024292341244,0.8578776158260963,0.7744129110093435
100.0,0.17043861640281135,0.7849560710046183,0.741656184943349
100.0,0.2810975109159555,0.7429969666156715,0.7158096449749006
