C,gamma,tol,score,generalization_score
44.30375245218264,0.000519026301769,0.002576638574613,1.007495490695203,0.3910701176246638
43.11710058685489,0.000265249637675,0.003833332156156,0.9979434232041922,0.3935529004419669
20.547625125911335,0.000779422611516,0.071556821617548,1.0086160240020323,0.3947864932059941
14.135935551752295,0.000619049016677,0.001304907355036,1.002456688938339,0.39326191317906084
50.598038746604296,0.0008425518534430001,1.9237305096546492e-05,1.0290620067890919,0.39449967122548624
78.0,0.0005,0.01643,1.0115032096764724,0.393113779469062
57.0,0.0004,0.00318,1.006772459858698,0.39304611629542074
67.0,0.0005,0.00141,1.0095158794469914,0.3927681581027167
76.0,0.0003,0.00132,1.005171765524471,0.39432691477569537
100.0,0.0001,0.00056,0.993921181758784,0.3971543120918846
92.0,0.0004,0.00375,1.0082478596516171,0.3920466288941222
28.0,0.0002,0.00495,0.9945967178340023,0.39686220840738057
45.0,0.0002,0.00348,0.9952843128744508,0.39467765293351903
61.0,0.0005,0.0012,1.0083519978692301,0.39195899303559173
41.0,0.0006,0.00275,1.007937684191918,0.39187942836713263
